# Lines starting with ”#” will be treated as comments.;;;;;;;;;;;;;;
# This file can be reloaded with the ”reload stats” console command;;;;;;;;;;;;;;
#;;;;;;;dmg reduction from;;;;;;;
#;;;;;;% of dmg that will;armor is multiplied ;;100;50;;;time before dmg;
#;;;;;%bonus dmg;go through shields;with this;;;;;;is applied;
key;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;missile_speed;end
# Lasers;;;;;;;;;;;;;;
SMALL_RED_LASER;2.5;-3.32;4.78;7.97;0.01;0;-4;2;23;25;24;1;0;
MEDIUM_RED_LASER;5;-6.65;9.93;16.55;0.01;0;-4;2;23;25;30;1;0;
LARGE_RED_LASER;10;-13.29;20.56;34.27;0.01;0;-4;2;23;25;36;1;0;
SMALL_BLUE_LASER;5;-6.66;7.24;12.07;0.04;0;-1.2;2;23;25;27;1;0;
MEDIUM_BLUE_LASER;10;-13.31;15.02;25.03;0.04;0;-1.7;2;23;25;34;1;0;
LARGE_BLUE_LASER;20;-26.63;31.09;51.82;0.04;0;-2.1;2;23;25;40;1;0;
SMALL_UV_LASER;7.5;-13.32;10.4;17.34;0.07;0;-0.8;2;23;25;30;1;0;
MEDIUM_UV_LASER;15;-26.65;21.56;35.94;0.07;0;-1;2;23;25;37;1;0;
LARGE_UV_LASER;30;-53.29;44.6;74.34;0.07;0;-1.3;2;23;25;45;1;0;
SMALL_XRAY_LASER;10;-26.66;14.53;24.22;0.07;0;-1;2;23;25;33;1;0;
MEDIUM_XRAY_LASER;20;-53.31;30.08;50.14;0.07;0;-1.2;2;23;25;41;1;0;
LARGE_XRAY_LASER;40;-106.63;62.16;103.6;0.07;0;-1.4;2;23;25;49;1;0;
SMALL_GAMMA_LASER;12.5;-53.32;20.01;33.36;0.08;0;-1;2;23;25;36;1;0;
MEDIUM_GAMMA_LASER;25;-106.65;41.38;68.97;0.08;0;-1.1;2;23;25;44;1;0;
LARGE_GAMMA_LASER;50;-213.29;85.42;142.36;0.08;0;-1.3;2;23;25;53;1;0;
# Spaceport Laser;;;;;;;;;;;;;;
SMALL_SPACEPORT_LASER;0;0;5;10;1;0;0.5;2;18;25;15;0.85;0;
MEDIUM_SPACEPORT_LASER;0;0;13;18;1;0;0.5;2;18;25;25;0.82;0;
LARGE_SPACEPORT_LASER;0;0;25;41;1;0;0.5;2;18;25;35;0.79;0;
# Energy Lance;;;;;;;;;;;;;;
LARGE_ENERGY_LANCE_1;100;-213.25;501.21;835.36;0.07;0;1.8;22;35;60;49;0.56;0;
LARGE_ENERGY_LANCE_2;120;-426.59;492.23;820.38;0.08;0;1.8;22;35;60;53;0.61;0;
# Plasma;;;;;;;;;;;;;;
SMALL_PLASMA_1;7.5;-13.32;14.45;24.08;0.07;0;1.3;2;25;30;30;0.76;0;
MEDIUM_PLASMA_1;15;-26.65;45.86;76.43;0.07;0;1.5;2;25;30;37;0.6;0;
LARGE_PLASMA_1;30;-53.29;133.04;221.73;0.07;0;1.7;2;25;30;45;0.5;0;
SMALL_PLASMA_2;10;-26.66;15.52;25.86;0.07;0;1.5;2;25;30;33;0.8;0;
MEDIUM_PLASMA_2;20;-53.31;45.05;75.08;0.07;0;1.6;2;25;30;41;0.66;0;
LARGE_PLASMA_2;40;-106.63;123.06;205.09;0.07;0;1.8;2;25;30;49;0.56;0;
SMALL_PLASMA_3;12.5;-53.32;16.88;28.13;0.08;0;1.5;2;25;30;36;0.83;0;
MEDIUM_PLASMA_3;25;-106.65;46.13;76.89;0.08;0;1.7;2;25;30;44;0.7;0;
LARGE_PLASMA_3;50;-213.29;120.65;201.08;0.08;0;1.8;2;25;30;53;0.61;0;
# Arc Emitter;;;;;;;;;;;;;;
LARGE_ARC_EMITTER_1;100;-213.25;219.24;365.4;0.07;0;-1.4;22;30;40;49;1;0;
LARGE_ARC_EMITTER_2;120;-426.59;301.75;502.91;0.08;0;-1.3;22;30;40;53;1;0;
# Disruptors;;;;;;;;;;;;;;
SMALL_DISRUPTOR_1;7.5;-13.32;113.04;188.4;3.4;0;-0.9;2;20;25;22;0.5;0;
MEDIUM_DISRUPTOR_1;15;-26.65;77.49;129.14;3.4;0;-1.2;2;20;25;26;0.42;0;
LARGE_DISRUPTOR_1;30;-53.29;203.3;338.83;3.4;0;-1.4;2;20;25;30;0.37;0;
SMALL_DISRUPTOR_2;10;-26.66;26.08;43.47;3.68;0;-1;2;20;25;24;0.56;0;
MEDIUM_DISRUPTOR_2;20;-53.31;68.46;114.1;3.68;0;-1.2;2;20;25;29;0.49;0;
LARGE_DISRUPTOR_2;40;-106.63;173.8;289.67;3.68;0;-1.4;2;20;25;33;0.43;0;
SMALL_DISRUPTOR_3;12.5;-53.32;25.53;42.56;4.25;0;-0.9;2;20;25;27;0.61;0;
MEDIUM_DISRUPTOR_3;25;-106.65;64.84;108.06;4.25;0;-1.1;2;20;25;31;0.54;0;
LARGE_DISRUPTOR_3;50;-213.29;160.43;267.38;4.25;0;-1.3;2;20;25;36;0.49;0;
# Energy Torpedo;;;;;;;;;;;;;;
LARGE_ENERGY_TORPEDO_1;100;-213.25;147.86;246.43;0.07;0;-1;2;23;55;98;1;11.25;
LARGE_ENERGY_TORPEDO_2;120;-426.59;179.41;299.02;0.08;0;-1;2;23;55;107;1;15;
# Mass Drivers;;;;;;;;;;;;;;
SMALL_MASS_DRIVER_1;2.5;-3.32;26.38;43.96;0;1;-4;2;23;25;36;0.4;0;
MEDIUM_MASS_DRIVER_1;5;-6.65;132.37;220.61;0;1;-4;2;23;25;45;0.25;0;
LARGE_MASS_DRIVER_1;10;-13.29;491.08;818.47;0;1;-4;2;23;25;54;0.18;0;
SMALL_MASS_DRIVER_2;5;-6.66;8.68;14.47;0;1;-3.4;2;23;25;40;0.81;0;
MEDIUM_MASS_DRIVER_2;10;-13.31;43.71;72.85;0;1;-2.8;2;23;25;50;0.51;0;
LARGE_MASS_DRIVER_2;20;-26.63;162.65;271.09;0;1;-2.1;2;23;25;60;0.37;0;
SMALL_MASS_DRIVER_3;7.5;-13.32;7.43;12.39;0;1;-1.7;2;23;25;45;1;0;
MEDIUM_MASS_DRIVER_3;15;-26.65;24.15;40.24;0;1;-1.3;2;23;25;56;0.76;0;
LARGE_MASS_DRIVER_3;30;-53.29;90.02;150.03;0;1;-0.9;2;23;25;67;0.55;0;
SMALL_MASS_DRIVER_4;10;-26.66;9.95;16.58;0;1;-1.6;2;23;25;49;1;0;
MEDIUM_MASS_DRIVER_4;20;-53.31;16.7;27.83;0;1;-1.1;2;23;25;61;1;0;
LARGE_MASS_DRIVER_4;40;-106.63;60.6;101.01;0;1;-0.7;2;23;25;73;0.74;0;
SMALL_MASS_DRIVER_5;12.5;-53.32;13.14;21.9;0;1;-1.3;2;23;25;53;1;0;
MEDIUM_MASS_DRIVER_5;25;-106.65;22.08;36.81;0;1;-0.9;2;23;25;67;1;0;
LARGE_MASS_DRIVER_5;50;-213.29;45.17;75.28;0;1;-0.5;2;23;25;80;0.92;0;
# Spaceport Laser;;;;;;;;;;;;;;
SMALL_SPACEPORT_MASS_DRIVER;0;0;3;15;1;0;0;2;18;25;20;0.82;0;
